TP,0.48,36
HP,12,37
TP,0.23,38
HP,12.05,38.5
TP,0.25,39
HP,11.87,40
TP,0.45,41
HP,11.56,41.8
TP,0.65,42.5
HP,12.3,43
TP,1.09,44
HP,12.3,44.5
TP,1.09,45.5
HP,12.3,46
TP,1.19,47
HP,12.66,47.5
TP,1.36,48.5
HP,12.36,49.2
TP,2.08,50
HP,12.33,51
HP,12.42,51
TP,2.3,50.2
HP,12.54,49.1
TP,1.67,48.5
HP,12.49,47.7
TP,1.36,46.9
HP,12.45,46
TP,1.31,45.4
HP,12.45,44.5
TP,0.96,43.8
HP,12.45,43
TP,0.63,42.3
HP,12.37,41.6
TP,0.52,40.7
HP,11.83,39.9
TP,0.7,39.2
HP,11.53,38.4
TP,0.22,37.6
HP,11.27,36.8
TP,0.13,36
